GENE_NAME	human.mean
FRMD7	0.03
AK8	0.1325
SPACA9	2.8025
GFI1B	0.15
FAM69B	13.515
ZMYND19	8.55
STOX1	0.2825
GBA2	47.645
RET	3.0325
BMS1	4.975
STK32C	4.38
JCAD	9.835
METTL17	25.995
SLC39A2	0
NDST1	19.265
NDRG2	194.045
ARHGEF40	10.3325
ZNF219	25.895
C12orf50	1.0025
CASP7	5.775
CCDC186	3.7175
ITGA2B	0.59
VWA2	0.07
SALL2	1.8975
TRUB1	4.3075
ERICH6B	0.18
ZFYVE1	9.1525
C10orf82	0.2425
HSPA12A	4.485
AP3M2	4.3
ANKRD2	47.6025
E2F7	0.045
ARHGAP42	1.7075
ISCA2	21.5625
OTOGL	0.2
LARGE2	0.1
PACSIN3	114.4075
SLC39A13	23.7075
CNGB1	0.05
AGBL2	0.0875
TC2N	2.5
CPSF2	6.9625
SERPINA12	0
CLMN	3.515
ST6GALNAC2	3.2475
SLC6A5	0.015
CCDC38	0.05
NELL1	0.03
PTER	3.945
C1QL3	0.2375
CACNB2	16.2625
HACD1	39.7925
ARL5B	1.94
CHAT	0
KCNC2	0.06
ABTB2	4.79
R3HCC1L	1.7725
AMOTL1	8.5925
HTRA1	35.73
LIPC	0.3075
CEP57	6.9775
TCP11L2	17.295
TMCO5A	0.0125
GPR176	1.68
JAM3	17.1375
IL25	0.015
CMTM5	4.2825
ADAMTS15	7.9825
SVOP	0.9225
SPATA19	0.055
TESK2	0.925
GPT2	11.63
AMN	0.24
RAB8B	5.235
