GENE_NAME	human.mean
RNF214	7.735
DUS2	6.905
ENGASE	15.4775
RBFOX3	0.44
TBC1D16	16.3275
TEPSIN	12.8075
MYO5B	26.21
ACAA2	219.5625
STIM1	22.7825
RRM1	10.5775
OR51E2	0.195
MMP26	0
OR51I1	0.035
ZNF668	3.7125
ZNF646	3.5275
GNG8	0.2925
TCF3	19.4975
SMG8	3.76
TPM4	140.48
RAB8A	47.905
GPX4	668.64
MIDN	30.47
FAM129C	1.115
KLHL26	6.43
TRIB2	21.3025
ANKRD11	42.0275
ZNF641	6.8075
LALBA	0
CACNB3	5.4525
DAZAP1	59.475
DHRS13	9.2025
KMT2D	15.34
CORO6	0.77
MBD3	45.4825
CYP2S1	1.31
AXL	8.1925
NFKBID	2.9575
TMC4	56.355
TTYH1	0.75
LENG8	81.8975
CRLF1	2.51
TMEM145	0.5775
ZNF526	2.705
TRAPPC9	20.095
PPP1R14A	27.115
SPINT2	243.68
HLTF	4.655
ATCAY	0.22
LY6D	0.095
DAPK3	26.48
EEF2	1226.8975
CHAF1A	3.275
HDGFL2	38.63
PLIN4	8.13
SEMA6B	4.075
FAM57A	3.3875
GLOD4	67.56
MFSD3	40.7175
GPT	50.835
KIFC2	21.6125
SLC43A2	67.85
RILP	18.7125
FAM3A	64.7825
SERPINF2	212.67
WDR81	18.0175
CYB5D2	36.54
KLK5	0.86
CPSF1	44.12
KLK11	0.1325
ACER1	0.2025
OTUB1	67.8225
MYO3B	1.725
CABP2	0.025
NDUFV1	370.285
CDK2AP2	86.315
CYBRD1	15.34
TBX10	0.1075
HID1	9.455
MRPL58	33.3125
CDH19	0.17
TMEM88	16.7575
SRP68	41.925
MGAT5B	0.415
TMC8	1.345
TMEM68	8.4175
SLC6A15	0.04
GHDC	46.1425
SOST	6.255
ZNF598	12.895
RAB26	1.435
MLST8	42.785
E4F1	14.9625
DNASE1L2	0.9375
CASKIN1	0.2825
RDH11	61.4575
KCTD5	8.355
SRRM2	206.72
NLRC3	0.7375
DDB1	98.8475
OSBPL7	5.825
BEST1	1.93
BSCL2	73.085
POLR2G	59.38
SLC3A2	294.9875
C11orf84	6.735
ATG16L2	8.9625
C2CD3	10.3525
TRANK1	1.5225
TTC21A	4.01
ADGRL1	7.1525
